time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-10 00:00:00+00:00,2,2,,
2023-12-11 00:00:00+00:00,3,3,1.0,1.0
2023-12-12 00:00:00+00:00,2,2,,
2023-12-13 00:00:00+00:00,2,2,,
2023-12-14 00:00:00+00:00,3,3,,
2023-12-15 00:00:00+00:00,2,2,,
2023-12-16 00:00:00+00:00,2,2,,
2023-12-17 00:00:00+00:00,2,2,,
2023-12-18 00:00:00+00:00,2,2,,
2023-12-19 00:00:00+00:00,1,1,,
2023-12-20 00:00:00+00:00,1,1,,
2023-12-21 00:00:00+00:00,1,1,,
2023-12-22 00:00:00+00:00,1,1,,
